Static-pure;Static-elitist;Stochastic- pure;Stochastic- elitist
0.1013071895;0.1013071895;0.1013071895;0.1013071895
0.1263939187;0.1263939187;0.1264007597;0.1263939187
0.1403798514;0.1403798514;0.1403798514;0.1403798514
0.0685131195;0.0685131195;0.0685131195;0.0685131195
0.0856218255;0.0855988546;0.0856003980;0.0855958639
0.1070422535;0.1070422535;0.1070422535;0.1070422535
0.0473856209;0.0473856209;0.0473856209;0.0473856209
0.0641939322;0.0641871537;0.0641900623;0.0641758343
0.0852017937;0.0852017937;0.0852017937;0.0852017937
0.0343137255;0.0343137255;0.0343137255;0.0343137255
0.0536172284;0.0536328238;0.0536245766;0.0536369715
0.0783009212;0.0783009212;0.0783009212;0.0783009212
0.0261437908;0.0261437908;0.0261437908;0.0261437908
0.0480002035;0.0480152550;0.0480390157;0.0480147024
0.0726714432;0.0726714432;0.0726714432;0.0726714432
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0457299547;0.0457487579;0.0457249207;0.0457105233
0.0674547983;0.0674547983;0.0674547983;0.0674547983
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454082498;0.0454047378;0.0453691235;0.0453407948
0.0737898465;0.0737898465;0.0682593857;0.0682593857
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0455009427;0.0454862064;0.0454653765;0.0454153240
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454794549;0.0454323005;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454779895;0.0454586250;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.1013071895;0.1013071895;0.1013071895;0.1013071895
0.1263939187;0.1263939187;0.1264007597;0.1263939187
0.1403798514;0.1403798514;0.1403798514;0.1403798514
0.0685131195;0.0685131195;0.0685131195;0.0685131195
0.0856218255;0.0855988546;0.0856003980;0.0855958639
0.1070422535;0.1070422535;0.1070422535;0.1070422535
0.0473856209;0.0473856209;0.0473856209;0.0473856209
0.0641939322;0.0641871537;0.0641900623;0.0641758343
0.0852017937;0.0852017937;0.0852017937;0.0852017937
0.0343137255;0.0343137255;0.0343137255;0.0343137255
0.0536172284;0.0536328238;0.0536245766;0.0536369715
0.0783009212;0.0783009212;0.0783009212;0.0783009212
0.0261437908;0.0261437908;0.0261437908;0.0261437908
0.0480002035;0.0480152550;0.0480390157;0.0480147024
0.0726714432;0.0726714432;0.0726714432;0.0726714432
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0457299547;0.0457487579;0.0457249207;0.0457105233
0.0674547983;0.0674547983;0.0674547983;0.0674547983
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454082498;0.0454047378;0.0453691235;0.0453407948
0.0737898465;0.0737898465;0.0682593857;0.0682593857
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0455009427;0.0454862064;0.0454653765;0.0454153240
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454794549;0.0454323005;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454779895;0.0454586250;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.1013071895;0.1013071895;0.1013071895;0.1013071895
0.1263939187;0.1263939187;0.1264007597;0.1263939187
0.1403798514;0.1403798514;0.1403798514;0.1403798514
0.0685131195;0.0685131195;0.0685131195;0.0685131195
0.0856218255;0.0855988546;0.0856003980;0.0855958639
0.1070422535;0.1070422535;0.1070422535;0.1070422535
0.0473856209;0.0473856209;0.0473856209;0.0473856209
0.0641939322;0.0641871537;0.0641900623;0.0641758343
0.0852017937;0.0852017937;0.0852017937;0.0852017937
0.0343137255;0.0343137255;0.0343137255;0.0343137255
0.0536172284;0.0536328238;0.0536245766;0.0536369715
0.0783009212;0.0783009212;0.0783009212;0.0783009212
0.0261437908;0.0261437908;0.0261437908;0.0261437908
0.0480002035;0.0480152550;0.0480390157;0.0480147024
0.0726714432;0.0726714432;0.0726714432;0.0726714432
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0457299547;0.0457487579;0.0457249207;0.0457105233
0.0674547983;0.0674547983;0.0674547983;0.0674547983
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454082498;0.0454047378;0.0453691235;0.0453407948
0.0737898465;0.0737898465;0.0682593857;0.0682593857
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0455009427;0.0454862064;0.0454653765;0.0454153240
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454794549;0.0454323005;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454779895;0.0454586250;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.1013071895;0.1013071895;0.1013071895;0.1013071895
0.1263939187;0.1263939187;0.1264007597;0.1263939187
0.1403798514;0.1403798514;0.1403798514;0.1403798514
0.0685131195;0.0685131195;0.0685131195;0.0685131195
0.0856218255;0.0855988546;0.0856003980;0.0855958639
0.1070422535;0.1070422535;0.1070422535;0.1070422535
0.0473856209;0.0473856209;0.0473856209;0.0473856209
0.0641939322;0.0641871537;0.0641900623;0.0641758343
0.0852017937;0.0852017937;0.0852017937;0.0852017937
0.0343137255;0.0343137255;0.0343137255;0.0343137255
0.0536172284;0.0536328238;0.0536245766;0.0536369715
0.0783009212;0.0783009212;0.0783009212;0.0783009212
0.0261437908;0.0261437908;0.0261437908;0.0261437908
0.0480002035;0.0480152550;0.0480390157;0.0480147024
0.0726714432;0.0726714432;0.0726714432;0.0726714432
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0457299547;0.0457487579;0.0457249207;0.0457105233
0.0674547983;0.0674547983;0.0674547983;0.0674547983
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454082498;0.0454047378;0.0453691235;0.0453407948
0.0737898465;0.0737898465;0.0682593857;0.0682593857
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0455009427;0.0454862064;0.0454653765;0.0454153240
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454794549;0.0454323005;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454779895;0.0454586250;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.1013071895;0.1013071895;0.1013071895;0.1013071895
0.1263939187;0.1263939187;0.1264007597;0.1263939187
0.1403798514;0.1403798514;0.1403798514;0.1403798514
0.1013071895;0.1013071895;0.1013071895;0.1013071895
0.1263939187;0.1263939187;0.1264007597;0.1263939187
0.1403798514;0.1403798514;0.1403798514;0.1403798514
0.0685131195;0.0685131195;0.0685131195;0.0685131195
0.0856218255;0.0855988546;0.0856003980;0.0855958639
0.1070422535;0.1070422535;0.1070422535;0.1070422535
0.0473856209;0.0473856209;0.0473856209;0.0473856209
0.0641939322;0.0641871537;0.0641900623;0.0641758343
0.0852017937;0.0852017937;0.0852017937;0.0852017937
0.0343137255;0.0343137255;0.0343137255;0.0343137255
0.0536172284;0.0536328238;0.0536245766;0.0536369715
0.0783009212;0.0783009212;0.0783009212;0.0783009212
0.0261437908;0.0261437908;0.0261437908;0.0261437908
0.0480002035;0.0480152550;0.0480390157;0.0480147024
0.0726714432;0.0726714432;0.0726714432;0.0726714432
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0457299547;0.0457487579;0.0457249207;0.0457105233
0.0674547983;0.0674547983;0.0674547983;0.0674547983
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454082498;0.0454047378;0.0453691235;0.0453407948
0.0737898465;0.0737898465;0.0682593857;0.0682593857
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0455009427;0.0454862064;0.0454653765;0.0454153240
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454794549;0.0454323005;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454779895;0.0454586250;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.1013071895;0.1013071895;0.1013071895;0.1013071895
0.1263939187;0.1263939187;0.1264007597;0.1263939187
0.1403798514;0.1403798514;0.1403798514;0.1403798514
0.0685131195;0.0685131195;0.0685131195;0.0685131195
0.0856218255;0.0855988546;0.0856003980;0.0855958639
0.1070422535;0.1070422535;0.1070422535;0.1070422535
0.0473856209;0.0473856209;0.0473856209;0.0473856209
0.0641939322;0.0641871537;0.0641900623;0.0641758343
0.0852017937;0.0852017937;0.0852017937;0.0852017937
0.0343137255;0.0343137255;0.0343137255;0.0343137255
0.0536172284;0.0536328238;0.0536245766;0.0536369715
0.0783009212;0.0783009212;0.0783009212;0.0783009212
0.0261437908;0.0261437908;0.0261437908;0.0261437908
0.0480002035;0.0480152550;0.0480390157;0.0480147024
0.0726714432;0.0726714432;0.0726714432;0.0726714432
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0457299547;0.0457487579;0.0457249207;0.0457105233
0.0674547983;0.0674547983;0.0674547983;0.0674547983
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454082498;0.0454047378;0.0453691235;0.0453407948
0.0737898465;0.0737898465;0.0682593857;0.0682593857
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0455009427;0.0454862064;0.0454653765;0.0454153240
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454794549;0.0454323005;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.0212418301;0.0212418301;0.0212418301;0.0212418301
0.0454941912;0.0454779895;0.0454586250;0.0454085726
0.0737898465;0.0737898465;0.0685772774;0.0685772774
0.1013071895;0.1013071895;0.1013071895;0.1013071895
0.1263939187;0.1263939187;0.1264007597;0.1263939187
0.1403798514;0.1403798514;0.1403798514;0.1403798514
0.1013071895;0.1013071895;0.1013071895;0.1013071895
0.1263939187;0.1263939187;0.1264007597;0.1263939187
0.1403798514;0.1403798514;0.1403798514;0.1403798514
0.0685131195;0.0685131195;0.0685131195;0.0685131195
0.0856218255;0.0855988546;0.0856003980;0.0855958639
0.1070422535;0.1070422535;0.1070422535;0.1070422535
